0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-215.79301,71.66612,-131.81377,-52.091328,-22.115965,-21.76418,-11.183746,18.912683,6.726638,14.556893,-11.782045,2.301037,-17.251303,10.052423,-6.0094986,-1.3153191,-17.69351,1.1171225,-4.369946,7.262952
-424.68677,110.56227,-54.14824,62.01073,-0.7095161,18.157396,1.4451563,11.161132,-1.7058903,12.360451,-11.055476,20.736567,-8.963174,12.854286,0.61885095,6.2307854,-2.010617,10.296951,-5.190449,5.707535
-459.56467,122.800354,-47.92471,53.265694,-1.1398686,24.772371,7.9801373,9.674258,-1.0235437,11.204449,-11.844942,14.346952,-3.5114844,11.401056,-0.36750448,6.4326878,-6.6032596,3.2845192,-2.0800686,10.90496
-414.55377,102.896904,-36.66495,54.18041,0.4860039,15.69706,2.1551292,8.1042185,-2.4878218,10.018102,-12.527809,21.491846,-6.189408,12.999986,-4.847803,4.287551,-0.79646987,7.8278484,-0.8200825,6.028363
-447.397,115.0954,-53.809113,61.608585,1.6425976,26.112864,1.9950669,10.739072,2.5962994,10.635984,-14.732572,17.2388,-4.0512586,10.257,1.6470469,9.686666,-5.9466863,5.195483,-7.321754,11.519138
-447.70856,118.409454,-35.248665,56.73993,1.6751778,26.060947,5.176452,12.128124,-1.512035,10.201851,-7.936515,13.737011,-1.4913944,10.372818,-0.2857292,3.3990707,-5.3885655,4.848556,-3.222403,7.33203
-477.1972,120.63773,-29.692501,57.05191,1.1024736,27.612,0.15753527,12.427043,-1.8909378,11.174763,-8.532554,18.948042,-3.5137427,11.947006,-3.5795808,5.6396194,-6.389372,5.1041937,-5.444146,6.564374
-464.84656,117.714554,-30.163273,50.72254,-5.693695,32.158348,6.3676524,16.784801,-2.1346443,13.725747,-9.4332285,15.999052,-4.553342,8.467756,-2.607625,4.7973194,-3.6180456,9.335082,-2.6166,5.978043
-472.1215,126.766,-38.36653,58.748646,-2.761849,29.186028,6.480686,13.917554,2.0512598,8.705047,-7.315597,17.47331,-3.268671,11.389228,-0.9439324,4.316063,-3.2261045,4.586807,-4.086266,3.562246
-196.18527,114.94506,-14.661183,1.229863,-20.730698,-4.206901,-40.966118,4.344552,-18.881565,-3.285731,-19.236177,6.8327956,-20.82724,-5.049725,-18.904455,3.5619977,-13.406785,-0.4656606,-12.569877,7.236365
-202.99025,111.43653,-28.663647,14.73386,-26.528957,-11.214965,-25.314554,4.0248566,-27.574278,8.895264,-20.557878,4.7625237,-23.284334,4.782226,-12.688124,-4.1741557,-13.097473,-2.5664217,-13.180365,1.7342823
-206.01173,90.92227,-25.063505,29.089556,-25.152763,-5.8986926,-18.295433,0.95467544,-30.31989,7.9034033,-17.994184,-7.6384616,-8.1280575,-0.63150525,-24.253382,6.8800817,-11.393078,-5.6915646,-9.663093,4.63749
-204.60739,103.6529,-29.975662,27.412031,-21.248592,-2.7492602,-22.98385,8.34465,-35.837208,10.34369,-16.956156,2.9225025,-22.124073,5.0647163,-16.474834,-0.9719549,-15.556984,0.6323869,-12.111244,-3.1663487
-120.52772,63.52439,-20.22668,19.67944,-7.022388,-7.297138,-30.37736,13.251908,-30.07519,2.8225136,-13.92068,6.4044514,-14.8641205,0.14733909,-11.724259,-0.63398045,-10.497294,0.2623798,-2.2992153,-0.077057764
-275.89142,101.7432,-91.016815,-4.6030293,-0.19049734,-12.795366,-17.279743,3.2734373,-9.625724,15.379914,8.937555,12.354351,1.4438443,2.0810902,-6.144736,2.8104534,3.3273103,1.677602,-1.3150595,8.037136
-294.21707,104.33867,-98.29193,-8.635915,3.9623847,-15.566174,-18.878965,1.2302043,-10.565391,12.420598,9.711321,13.038253,2.1328726,-3.4996572,-7.1326423,-0.6077411,2.5040424,-1.2017436,-2.9252994,7.790698
-301.5207,105.01332,-92.563484,-10.303137,7.001819,-18.992569,-17.974098,-0.8141235,-6.6997995,14.040513,8.569474,9.705857,1.626028,-2.2655897,-3.764252,-0.35863557,-0.26406825,0.06739842,-0.5349399,4.6076884
-299.53833,105.0457,-95.95926,-11.808134,9.160071,-24.46788,-17.619164,-3.7405272,-4.647872,14.255212,13.2391205,11.203232,0.55956244,-4.336283,-7.158855,-0.15976027,2.695264,-0.85698915,-1.0513816,5.993201
-324.32944,82.345,-77.86384,-30.830027,12.414721,7.6189466,-1.1133351,7.7586665,-4.1799197,-3.8494813,1.9532688,6.147571,8.223438,6.3882484,4.5096374,0.30863872,-6.8195252,-0.31879288,4.6843863,-0.26603144
-337.4312,113.117546,-71.68218,-41.61323,-0.81599885,2.0045738,-13.107713,4.494193,1.4252813,16.01285,6.6061716,-5.4399586,-0.021295007,5.087319,3.1525223,7.6914773,2.4899254,-2.1363165,-6.2792616,-0.5552564
-349.56076,106.93007,-72.73932,-37.161476,0.9679689,4.479672,-12.470971,7.4223857,2.121315,15.3563385,3.288548,-9.563226,-1.8313844,9.058838,6.5823812,6.5347986,0.14064053,-4.124499,-9.383967,-0.9262564
-339.69455,112.55796,-75.99465,-40.204727,2.417206,6.286034,-14.89695,4.2517486,-1.523747,12.905118,2.260563,-8.911303,0.4364033,10.140377,8.783956,7.524641,-0.45349148,-3.7386048,-8.895598,-2.4143624
-58.007244,84.2322,-53.017014,49.84611,-4.736615,22.980337,-2.1189327,15.761104,-12.481671,11.057244,-13.254245,13.824466,-10.03138,15.583426,-10.737546,13.490579,-9.060648,9.459958,-7.039641,10.01312
-54.992184,85.74824,-53.189148,50.392918,-4.112034,23.574507,-1.7386831,15.40229,-13.22814,11.235801,-12.721063,13.72177,-10.352622,15.829516,-10.361921,13.682453,-9.046683,10.058491,-6.905131,10.238071
-46.558163,81.02452,-48.394222,49.413486,-2.3848562,23.825901,-3.860939,16.08324,-13.149657,11.920966,-11.035426,13.1022005,-10.001046,15.945434,-10.261715,13.143095,-7.593978,9.111383,-7.009073,11.479774
-47.490337,80.63076,-48.087208,49.61725,-2.779057,23.995476,-4.409091,15.689276,-12.91906,11.670864,-11.195995,13.340941,-9.245615,15.811769,-10.275142,12.841103,-7.127522,10.037441,-6.308842,11.616247
-53.47207,81.887314,-49.481884,50.03738,-4.867404,24.297632,-3.5542574,15.262966,-13.162939,11.951463,-11.1169405,12.507818,-9.011021,15.3761,-10.531483,12.984725,-6.972311,10.343341,-6.5400305,11.749361
-56.553135,82.24638,-50.053143,50.483612,-6.051362,24.04258,-2.9388132,15.201642,-13.219461,11.958554,-10.740881,12.020996,-9.459739,15.650313,-10.074117,12.944291,-6.647626,9.9464245,-7.203896,11.747177
-56.22584,82.033264,-49.975716,51.134212,-6.0183725,23.288485,-3.4093268,15.294698,-12.726895,11.370219,-10.635374,12.182947,-9.560733,15.716085,-9.554727,13.274177,-6.667032,9.451107,-7.2776203,11.4934
-55.182182,82.58652,-49.9767,51.720856,-5.0699997,23.630882,-3.4253614,15.119734,-12.286059,11.153877,-10.779574,12.656992,-9.559233,15.81288,-9.806131,13.481358,-7.070948,9.745611,-7.2619934,11.691419
-55.225067,81.893425,-49.54577,51.316902,-4.4762964,23.989399,-2.9516113,14.671549,-12.311436,11.279371,-11.414045,12.8022175,-9.27939,16.463114,-10.454982,13.338661,-7.0084095,9.872498,-7.4431973,12.266884
