0,1,2,3,4,5,6,7,8,9,10,11
0.6408214,0.7350972,0.5621594,0.40784797,0.35005262,0.40556812,0.36288586,0.55182266,0.9149342,0.7896861,0.4826494,0.49830765
0.71473396,0.70892274,0.7280759,0.70723844,0.70973706,0.7018689,0.65423274,0.5864007,0.61940604,0.67727757,0.69538534,0.6864057
0.77978367,0.82244414,0.7690211,0.64811444,0.64327705,0.72547096,0.7049634,0.6766102,0.6379069,0.6476951,0.7241884,0.75196564
0.73103714,0.7596663,0.72458047,0.72726715,0.67899776,0.5860897,0.5376962,0.5939967,0.63074535,0.640974,0.6709806,0.68405795
0.85854906,0.83606356,0.6967812,0.62741786,0.6251714,0.6057561,0.6079077,0.63763064,0.5967316,0.6182743,0.69300056,0.8283423
0.81485337,0.817073,0.7695812,0.7567453,0.7406537,0.6961598,0.6982488,0.7246634,0.6554317,0.6761591,0.74464875,0.8240471
0.82244617,0.8460831,0.7889643,0.73018634,0.7221981,0.6964733,0.6879508,0.66441643,0.6827977,0.75553715,0.7660047,0.78892666
0.8290164,0.8050414,0.8112692,0.827008,0.75076663,0.7444212,0.75576097,0.71758705,0.7100312,0.7537204,0.78111714,0.8049429
0.83699733,0.85091776,0.8014339,0.77157557,0.76679826,0.70356894,0.65821815,0.6358538,0.66502047,0.72259337,0.7738392,0.83932567
0.5418962,0.54815954,0.76540965,0.6779108,0.835354,0.79942906,0.5704767,0.5772527,0.5344403,0.53020537,0.52674586,0.6805102
0.6367965,0.6509194,0.80262434,0.65891075,0.65973496,0.8894488,0.74212843,0.64710027,0.7553774,0.7030678,0.6962893,0.6461179
0.53732336,0.49319273,0.6036096,0.59177685,0.58606094,0.59392035,0.5558767,0.55830777,0.9696294,0.57884324,0.623141,0.5709584
0.6366409,0.64977455,0.62345725,0.68997055,0.94252104,0.70941937,0.7576242,0.84039986,0.6927968,0.80061764,0.7209031,0.69719946
0.50502956,0.5450309,0.73637813,0.65938103,0.7090582,0.50804794,0.5974969,0.6627027,0.5180299,0.5894851,0.49327153,0.5337766
0.615332,0.6316492,0.58218324,0.59018546,0.6641513,0.7581817,0.7581656,0.6654988,0.5897582,0.55338293,0.53572464,0.53285927
0.6563866,0.6178883,0.5670269,0.59697956,0.7774981,0.8393409,0.671657,0.50890464,0.5061865,0.5216631,0.49699643,0.5800572
0.61853087,0.6518588,0.633864,0.60046935,0.69631034,0.76607656,0.72553104,0.652383,0.5875564,0.60056716,0.5581213,0.5660163
0.54689443,0.59717846,0.59190595,0.5601249,0.61251825,0.7344184,0.7853182,0.67050534,0.52302116,0.5145876,0.5343534,0.51845914
0.6028165,0.74660194,0.716465,0.66387033,0.5895399,0.47650084,0.5339578,0.61865604,0.52131426,0.5182091,0.53193,0.54061264
0.48971072,0.43277162,0.41405457,0.47023514,0.5797821,0.6833019,0.67724955,0.6390372,0.63464344,0.6862453,0.76163566,0.6578139
0.5446914,0.36942655,0.34943238,0.39774784,0.46705177,0.56434435,0.650651,0.57882005,0.5885563,0.6411503,0.7300645,0.8316481
